"","Clusters","variable","n","min","max","median","q1","q3","iqr","mad","mean","sd","se","ci"
"14","South_Asian_Asian_Cluster","Median gross rent Total",7,870,1357,1059,967.5,1094,126.5,123.056,1058.429,155.413,58.741,143.733
"15","Southeast_Asian_Asian_Cluster","Median gross rent Total",18,681,1096,948,872.75,1014.5,141.75,113.419,927.722,116.239,27.398,57.804
"16","South_Asian_Asian_Cluster","white_Race",16,656,5755,3845.5,2789.5,4420,1630.5,1564.143,3643.188,1464.904,366.226,780.592
"17","East_Asian_Asian_Cluster","white_Race",24,1001,5102,2957,1841.25,3472.25,1631,1264.658,2769.5,1133.156,231.304,478.49
"18","Filipino_Asian_Cluster","white_Race",1,1736,1736,1736,1736,1736,0,0,1736,NA,NA,NA
"19","Southeast_Asian_Asian_Cluster","white_Race",20,139,3537,710.5,396.25,1933.5,1537.25,662.722,1301.35,1162.52,259.947,544.076
"20","South_Asian_Asian_Cluster","Black_Race",16,7,1904,350,117.5,879.5,762,389.924,573.312,598.898,149.725,319.13
"21","East_Asian_Asian_Cluster","Black_Race",24,85,2509,726.5,313,1109,796,626.398,791.042,573.731,117.112,242.265
"22","Filipino_Asian_Cluster","Black_Race",1,764,764,764,764,764,0,0,764,NA,NA,NA
"23","Southeast_Asian_Asian_Cluster","Black_Race",20,20,4501,2382.5,1581.75,3768.25,2186.5,2004.475,2557.1,1396.886,312.353,653.763
"24","South_Asian_Asian_Cluster","Some_HS_or_less_Edu_Attainment",16,177,985,461,294.75,580.25,285.5,250.559,485.875,224.247,56.062,119.493
"25","East_Asian_Asian_Cluster","Some_HS_or_less_Edu_Attainment",24,32,1377,515.5,165.25,743.5,578.25,403.267,525.542,380.852,77.741,160.82
"26","Filipino_Asian_Cluster","Some_HS_or_less_Edu_Attainment",1,503,503,503,503,503,0,0,503,NA,NA,NA
"27","Southeast_Asian_Asian_Cluster","Some_HS_or_less_Edu_Attainment",20,189,1747,810,597.5,1077.75,480.25,359.53,854.7,412.652,92.272,193.127
"28","South_Asian_Asian_Cluster","Bachelor_more_Edu_Attainment",16,387,2242,1238.5,1004.5,1679.5,675,461.089,1309.625,482.721,120.68,257.224
"29","East_Asian_Asian_Cluster","Bachelor_more_Edu_Attainment",24,333,3624,911,535.5,1502.5,967,598.97,1166.625,853.644,174.249,360.462
"30","Filipino_Asian_Cluster","Bachelor_more_Edu_Attainment",1,1165,1165,1165,1165,1165,0,0,1165,NA,NA,NA
"31","Southeast_Asian_Asian_Cluster","Bachelor_more_Edu_Attainment",20,126,833,432.5,284.25,540.25,256,212.012,451.65,196.375,43.911,91.907
"32","South_Asian_Asian_Cluster","$100+K_Income",16,222,1052,474,296.25,645.5,349.25,269.092,493.875,228.905,57.226,121.975
"33","East_Asian_Asian_Cluster","$100+K_Income",24,64,1195,311,214.75,488.25,273.5,213.494,417.75,304.881,62.234,128.74
"34","Filipino_Asian_Cluster","$100+K_Income",1,264,264,264,264,264,0,0,264,NA,NA,NA
"35","Southeast_Asian_Asian_Cluster","$100+K_Income",20,60,485,173.5,123,260.25,137.25,106.747,213.8,125.933,28.16,58.939
"36","South_Asian_Asian_Cluster","white_Race",16,656,5755,3845.5,2789.5,4420,1630.5,1564.143,3643.188,1464.904,366.226,780.592
"37","East_Asian_Asian_Cluster","white_Race",24,1001,5102,2957,1841.25,3472.25,1631,1264.658,2769.5,1133.156,231.304,478.49
"38","Filipino_Asian_Cluster","white_Race",1,1736,1736,1736,1736,1736,0,0,1736,NA,NA,NA
"39","Southeast_Asian_Asian_Cluster","white_Race",20,139,3537,710.5,396.25,1933.5,1537.25,662.722,1301.35,1162.52,259.947,544.076
"40","South_Asian_Asian_Cluster","Black_Race",16,7,1904,350,117.5,879.5,762,389.924,573.312,598.898,149.725,319.13
"41","East_Asian_Asian_Cluster","Black_Race",24,85,2509,726.5,313,1109,796,626.398,791.042,573.731,117.112,242.265
"42","Filipino_Asian_Cluster","Black_Race",1,764,764,764,764,764,0,0,764,NA,NA,NA
"43","Southeast_Asian_Asian_Cluster","Black_Race",20,20,4501,2382.5,1581.75,3768.25,2186.5,2004.475,2557.1,1396.886,312.353,653.763
"44","South_Asian_Asian_Cluster","Some_HS_or_less_Edu_Attainment",16,177,985,461,294.75,580.25,285.5,250.559,485.875,224.247,56.062,119.493
"45","East_Asian_Asian_Cluster","Some_HS_or_less_Edu_Attainment",24,32,1377,515.5,165.25,743.5,578.25,403.267,525.542,380.852,77.741,160.82
"46","Filipino_Asian_Cluster","Some_HS_or_less_Edu_Attainment",1,503,503,503,503,503,0,0,503,NA,NA,NA
"47","Southeast_Asian_Asian_Cluster","Some_HS_or_less_Edu_Attainment",20,189,1747,810,597.5,1077.75,480.25,359.53,854.7,412.652,92.272,193.127
"48","South_Asian_Asian_Cluster","Bachelor_more_Edu_Attainment",16,387,2242,1238.5,1004.5,1679.5,675,461.089,1309.625,482.721,120.68,257.224
"49","East_Asian_Asian_Cluster","Bachelor_more_Edu_Attainment",24,333,3624,911,535.5,1502.5,967,598.97,1166.625,853.644,174.249,360.462
"50","Filipino_Asian_Cluster","Bachelor_more_Edu_Attainment",1,1165,1165,1165,1165,1165,0,0,1165,NA,NA,NA
"51","Southeast_Asian_Asian_Cluster","Bachelor_more_Edu_Attainment",20,126,833,432.5,284.25,540.25,256,212.012,451.65,196.375,43.911,91.907
"52","South_Asian_Asian_Cluster","$100+K_Income",16,222,1052,474,296.25,645.5,349.25,269.092,493.875,228.905,57.226,121.975
"53","East_Asian_Asian_Cluster","$100+K_Income",24,64,1195,311,214.75,488.25,273.5,213.494,417.75,304.881,62.234,128.74
"54","Filipino_Asian_Cluster","$100+K_Income",1,264,264,264,264,264,0,0,264,NA,NA,NA
"55","Southeast_Asian_Asian_Cluster","$100+K_Income",20,60,485,173.5,123,260.25,137.25,106.747,213.8,125.933,28.16,58.939
